Task,Age,Advice,Error,Text,URL
185,85,76,-9,"The individual in the photograph exhibits visible signs of aging such as pronounced smile lines and crow's feet, along with natural grey hair, which are commonly associated with someone in their early to mid-70s. Her overall facial features, while showing signs of aging, retain a significant amount of elasticity and vitality, typical of someone in this age range.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_XsMs39K5ywI87Yb"" />"
186,86,80,-6,"The person in the photograph displays features typical of advanced age, such as white hair and visible wrinkles. Her overall appearance, including the maturity in her smile and the condition of her skin, suggests she is likely around 80.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_JGWpUie5844dJog"" />"
187,87,80,-7,"The woman in the photograph has pronounced signs of aging such as white hair, noticeable wrinkles, and a mature facial structure, which are typical physical characteristics observed around 80. Her overall appearance aligns with common aging markers for this estimated age.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_EKEooL7WhyQFGUL"" />"
188,88,78,-10,"The individual in the photograph exhibits features typical of a senior person, such as extensive wrinkling and significant greying of hair. These signs, combined with the overall facial structure and skin texture, suggest an age in the late seventies.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b36wpMOMQusPCKq"" />"
189,89,86,-3,The woman in the photograph has deep facial lines and significant signs of natural aging which suggest she is likely in her mid-80s. Her joyful expression and the overall condition of her skin also hint at a well-lived maturity typical for this age group.,"<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_QhZvibhj3pVTRKo"" />"
190,90,86,-4,"The woman in the photograph exhibits pronounced facial features consistent with advanced age, such as significant wrinkling and a softer, fuller facial structure. Her white, full hair and the gentle sagging of the skin also suggest she is likely in her mid 80s.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_axIDro9f1WPnaJv"" />"
191,91,81,-10,"The woman in the photograph displays signs of advanced age, such as deep wrinkles and significant skin laxity, typical of early eighties. Her grey hair and overall facial structure further support this age estimate.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_c4ilL8gsvZusP9Z"" />"
192,92,84,-8,"The person in the photograph shows significant signs of aging, such as deep wrinkles and white hair, typical for someone in their mid-80s. The facial features and skin elasticity suggest an advanced age, aligning with typical characteristics observed in octogenarians.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_oqGHidkRJNmcMmL"" />"
193,93,84,-9,"The individual in the photograph exhibits pronounced signs of aging such as deep wrinkles and a general lack of skin elasticity, common in the later stages of life. Her hair is fully gray and styled in a manner typical of someone well into their senior years, supporting the age estimate.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_n37Mda1RM7Rlwgf"" />"
194,94,87,-7,"The individual in the photograph exhibits signs typical of advanced age, such as deep wrinkles and a generally receded hairline, which are common in the elderly. The smile and visible vitality also suggest an age where one is likely retired but still enjoying an active and healthy lifestyle.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_F5YhJarhQ5uHoRS"" />"
195,95,95,0,"The individual in the photograph displays advanced signs of aging such as significant wrinkling and thinning of the skin, which are common in the later decades of life. Her white hair and the visible frailty also suggest she is in her mid-nineties.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_xsqwEYY4rjzAgDj"" />"
196,96,87,-9,"The individual in the photograph shows pronounced signs of aging such as deep wrinkles and sagging skin, common in the later stages of life. Her overall facial structure and the graying of her hair also suggest an advanced age, likely in the mid to upper 80s.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mPSoqY14ybXBA4H"" />"
197,97,87,-10,"The person in the photograph displays significant signs of aging, such as deep wrinkles and sagging skin, which are more pronounced and typically observed in individuals in their mid-eighties. The facial features suggest a well-lived maturity, aligning with the physical characteristics common in this age group.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_byxyTk78eMowCBR"" />"
198,98,88,-10,"The person in the photograph displays prominent signs of aging such as deep wrinkles and fine lines, particularly around the eyes and mouth, and a generally thin appearance of the skin, common in the advanced adult years. These features, along with the naturally gray hair and sagging skin, are typical of someone in their late eighties.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_XjNm3XUqEbNyrqt"" />"
199,99,82,-17,"The person in the photograph has significant signs of aging such as wrinkles and gray hair, which are common in the later decades of life. Her facial features and overall appearance suggest she might be in her early 80s.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_H89t2jC02zniaYy"" />"
200,100,86,-14,"The woman in the photograph displays characteristics typical of someone in their late eighties, such as pronounced wrinkles around the eyes and mouth, and a general softening of the skin's elasticity, which is common in this age group. Her hair also shows signs of aging, being predominantly white and thinner, which are usual changes observed in this stage of life.","<img src=""https://iu.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_kZBrz2xv8V56lpj"" />"
